drug.name,Genes,PPI,GO_BP,GO_CC,GO_MF,KEGG,Reactome,score
1-Deaza-Adenosine,290,875,1560,726,1794,1867,1041,1164.71428571428
"6-Hydroxy-1,6-Dihydro Purine Nucleoside",290,875,1560,726,1794,1867,1041,1164.71428571428
FR117016,290,875,1560,726,1794,1867,1041,1164.71428571428
Pentostatin,290,875,1560,726,1794,1867,1041,1164.71428571428
Mepivacaine,696,1091,1114,1400,1250,1568,1041,1165.71428571428
Agomelatine,1026,1895,774,397,1694,1338,1041,1166.42857142857
Benzphetamine,1147,1970,1074,472,800,1678,1041,1168.85714285714
"(2R)-1-(2,6-dimethylphenoxy)propan-2-amine",1147,753,1021,1406,1794,1035,1041,1171
1-[4-(2-oxo-2-phenylethyl)phenyl]guanidine,1147,753,1021,1406,1794,1035,1041,1171
6-(N-Phenylcarbamyl)-2-Naphthalenecarboxamidine,1147,753,1021,1406,1794,1035,1041,1171
"Thieno[2,3-B]Pyridine-2-Carboxamidine",1147,753,1021,1406,1794,1035,1041,1171
Methadone,1124,1908,743,507,1294,1582,1041,1171.28571428571
Phloroglucinol,1147,1091,1396,1239,931,1354,1041,1171.28571428571
Sertindole,909,1913,947,919,904,1568,1041,1171.57142857142
Dofetilide,696,1091,882,1787,1250,1462,1041,1172.71428571428
6-MORPHOLIN-4-YL-9H-PURINE,1147,719,1827,1628,1406,720,768,1173.57142857142
"N-(5,6-DIPHENYLFURO[2,3-D]PYRIMIDIN-4-YL)GLYCINE",1147,719,1827,1628,1406,720,768,1173.57142857142
Rabusertib,1147,719,1827,1628,1406,720,768,1173.57142857142
Triflupromazine,1147,1819,884,947,1304,1083,1041,1175
Lurasidone,984,1893,1037,910,1335,1028,1041,1175.42857142857
Xanthine,1147,1070,1019,1628,1616,797,957,1176.28571428571
Zuclopenthixol,1147,1938,988,492,1481,1149,1041,1176.57142857142
4-Methoxyamphetamine,1080,1969,842,671,825,1813,1041,1177.28571428571
Cefalotin,1147,1064,976,1728,1663,714,949,1177.28571428571
Arbutamine,696,1193,2164,1002,1216,930,1041,1177.42857142857
Arotinolol,696,1193,2164,1002,1216,930,1041,1177.42857142857
Carteolol,696,1193,2164,1002,1216,930,1041,1177.42857142857
Dopexamine,696,1193,2164,1002,1216,930,1041,1177.42857142857
Levobunolol,696,1193,2164,1002,1216,930,1041,1177.42857142857
Levosalbutamol,696,1193,2164,1002,1216,930,1041,1177.42857142857
Pirbuterol,696,1193,2164,1002,1216,930,1041,1177.42857142857
Reproterol,696,1193,2164,1002,1216,930,1041,1177.42857142857
Tulobuterol,696,1193,2164,1002,1216,930,1041,1177.42857142857
Bethanidine,1147,1938,1116,813,1324,867,1041,1178
1h-Benoximidazole-2-Carboxylic Acid,290,1156,1963,541,1794,1462,1041,1178.14285714285
N-Aminoethylmorpholine,290,1156,1963,541,1794,1462,1041,1178.14285714285
Cantharidin,1147,956,1730,1219,1728,965,505,1178.57142857142
Desvenlafaxine,111,643,1243,1660,1685,1867,1041,1178.57142857142
Gabexate,1147,582,1735,1343,1117,1867,459,1178.57142857142
"5,6-Cyclic-Tetrahydropteridine",1147,1575,1382,645,1794,867,841,1178.71428571428
5-Nitroindazole,1147,826,744,1820,1794,1105,816,1178.85714285714
Aprindine,1147,1972,746,560,1483,1446,901,1179.28571428571
Mesoridazine,1121,1837,878,1120,986,1272,1041,1179.28571428571
Trehalose,1147,1469,804,1212,1694,1024,918,1181.14285714285
8-Hydroxy-2'-Deoxyguanosine,1147,831,1853,1057,1794,548,1041,1181.57142857142
Pargyline,1147,1126,969,351,1782,1865,1041,1183
Galantamine,1147,1972,1248,634,623,1623,1041,1184
Acepromazine,1147,1955,1110,619,1279,1149,1041,1185.71428571428
Dinitrochlorobenzene,1061,1452,523,1438,1602,1666,562,1186.28571428571
Thioproperazine,1147,1955,1046,650,1324,1149,1041,1187.42857142857
Tivozanib,1147,134,1758,1860,1794,887,732,1187.42857142857
Metyrapone,964,1628,560,1282,1076,1762,1041,1187.57142857142
Cannabidiol,1147,1704,1526,263,1175,1462,1041,1188.28571428571
Nabilone,1147,1704,1526,263,1175,1462,1041,1188.28571428571
Chlorobutanol,290,875,1256,1860,1132,1867,1041,1188.71428571428
Clobutinol,290,875,1256,1860,1132,1867,1041,1188.71428571428
Flupentixol,1147,1932,1057,671,1324,1149,1041,1188.71428571428
Miglitol,1026,1587,691,560,1741,1675,1041,1188.71428571428
Pentoxyverine,290,875,1256,1860,1132,1867,1041,1188.71428571428
Prenylamine,290,875,1256,1860,1132,1867,1041,1188.71428571428
Simendan,290,875,1256,1860,1132,1867,1041,1188.71428571428
Theobromine,1147,1693,1203,1122,922,1193,1041,1188.71428571428
Flubendazole,534,968,2174,697,1616,1313,1041,1191.85714285714
Benzbromarone,964,1045,471,1524,1794,1584,967,1192.71428571428
KRN-7000,696,596,1322,1830,1216,1652,1041,1193.28571428571
Flavin adenine dinucleotide,1147,1404,881,228,1789,1866,1041,1193.71428571428
Voclosporin,1147,762,1319,1860,1485,745,1041,1194.14285714285
Nabumetone,1147,1972,863,1219,971,1149,1041,1194.57142857142
Tiaprofenic acid,1147,1972,863,1219,971,1149,1041,1194.57142857142
Mephentermine,1147,1625,1626,955,1082,887,1041,1194.71428571428
4-Iodo-L-phenylalanine,696,1436,1611,554,1569,1462,1041,1195.57142857142
Dipivefrin,696,1873,1215,813,1663,1075,1041,1196.57142857142
S-Ethyl-N-[4-(Trifluoromethyl)Phenyl]Isothiourea,1147,1091,1475,259,1640,1725,1041,1196.85714285714
6-O-Cyclohexylmethyl Guanine,1147,1350,1412,1854,1117,473,1041,1199.14285714285
6-O-Phosphoryl Inosine Monophosphate,834,945,1505,697,1728,1739,949,1199.57142857142
Dexketoprofen,1147,1066,1273,1406,1309,1867,329,1199.57142857142
Alprenolol,834,1539,2100,641,1279,973,1041,1201
Propiomazine,1147,1857,1043,838,1462,1025,1041,1201.85714285714
Emedastine,1147,1827,873,768,1465,1602,732,1202
Grepafloxacin,534,1637,1019,1860,1185,1138,1041,1202
Abacavir,534,576,1114,1820,1517,1818,1041,1202.85714285714
Cabergoline,1147,1932,827,758,1522,1193,1041,1202.85714285714
Methysergide,1147,1921,999,524,1569,1226,1041,1203.85714285714
5-deoxyflavanone,1147,1160,1571,1660,936,913,1041,1204
Acetyldigitoxin,1147,1972,1207,445,1185,1438,1041,1205
Deslanoside,1147,1972,1207,445,1185,1438,1041,1205
Phenelzine,631,774,1250,1158,1727,1855,1041,1205.14285714285
Quinidine barbiturate,1147,1492,914,719,1540,1584,1041,1205.28571428571
Ifenprodil,1096,1889,495,1627,986,1309,1041,1206.14285714285
Triclosan,1147,975,1619,1511,747,1783,665,1206.71428571428
Fluvoxamine,290,875,1184,1587,1616,1867,1041,1208.57142857142
Itraconazole,1147,1261,559,919,1684,1854,1041,1209.28571428571
3-(4-HYDROXY-PHENYL)PYRUVIC ACID,534,1480,970,1137,1794,1685,872,1210.28571428571
Guanfacine,834,1695,940,1219,1324,1425,1041,1211.14285714285
Tubocurarine,1147,1538,2059,650,844,1201,1041,1211.42857142857
Adenine,1147,1968,752,560,1765,1248,1041,1211.57142857142
Iloperidone,1147,1942,959,639,1613,1143,1041,1212
Fructose-6-Phosphate,696,984,1236,1860,1677,1272,768,1213.28571428571
Drotaverine,534,1050,1275,1702,1640,1270,1041,1216
Domperidone,834,1920,1036,1581,827,1280,1041,1217
Arundic acid,1147,1436,911,768,1794,1445,1041,1220.28571428571
Aminocaproic Acid,1147,1212,1197,1796,1794,1135,268,1221.28571428571
3-Methylfentanyl,1147,1645,1346,697,1640,1035,1041,1221.57142857142
3-Methylthiofentanyl,1147,1645,1346,697,1640,1035,1041,1221.57142857142
Carfentanil,1147,1645,1346,697,1640,1035,1041,1221.57142857142
Dextropropoxyphene,1147,1645,1346,697,1640,1035,1041,1221.57142857142
Etonitazene,1147,1645,1346,697,1640,1035,1041,1221.57142857142
Hydromorphone,1147,1645,1346,697,1640,1035,1041,1221.57142857142
Nalbuphine,1147,1645,1346,697,1640,1035,1041,1221.57142857142
Oxycodone,1147,1645,1346,697,1640,1035,1041,1221.57142857142
Primaquine,1147,1133,968,625,1782,1857,1041,1221.85714285714
Isatoribine,1147,224,1849,1820,1685,878,957,1222.85714285714
Candesartan cilexetil,474,1583,779,1820,1782,1167,957,1223.14285714285
Prostaglandin D2,1147,1454,838,1702,1694,759,976,1224.28571428571
Eszopiclone,696,1224,1717,1043,1117,1739,1041,1225.28571428571
Promethazine,1147,1875,975,633,1516,1444,989,1225.57142857142
Isosorbide Mononitrate,534,1436,1044,1530,1794,1201,1041,1225.71428571428
Piribedil,1147,1959,997,872,1455,1109,1041,1225.71428571428
METHYL (2Z)-2-(2-{[6-(2-CYANOPHENOXY)PYRIMIDIN-4-YL]OXY}PHENYL)-3-METHOXYACRYLATE,290,875,1378,1860,1794,1354,1041,1227.42857142857
Indoramin,1147,1630,1341,955,1359,1122,1041,1227.85714285714
Phosphomethylphosphonic Acid Adenosyl Ester,534,1012,1584,768,1794,1867,1041,1228.57142857142
Isoflurophate,696,1091,1798,1387,1238,1354,1041,1229.28571428571
Castanospermine,1147,1541,1543,497,1528,1313,1041,1230
Avatrombopag,290,462,2240,1458,1794,1354,1041,1234.14285714285
Glycolic acid,290,875,1629,1587,1794,1425,1041,1234.42857142857
Levorphanol,1147,1645,1346,497,1685,1280,1041,1234.42857142857
Benzylcysteine,290,875,1307,1860,1406,1867,1041,1235.14285714285
Methyl isocyanate,290,875,1307,1860,1406,1867,1041,1235.14285714285
L-Valine,1147,1091,1047,1660,1216,1449,1041,1235.85714285714
Pyrophosphoric acid,892,1406,1359,1786,1278,1460,471,1236
"5'-FLUORO-2',5'-DIDEOXYADENOSINE",1147,1012,1437,1587,1185,1249,1041,1236.85714285714
Fosinopril,1147,1012,1437,1587,1185,1249,1041,1236.85714285714
Isoquinoline,1147,1012,1437,1587,1185,1249,1041,1236.85714285714
Rescinnamine,1147,1012,1437,1587,1185,1249,1041,1236.85714285714
Spirapril,1147,1012,1437,1587,1185,1249,1041,1236.85714285714
Trandolapril,1147,1012,1437,1587,1185,1249,1041,1236.85714285714
Pipamperone,1147,1953,923,719,1540,1338,1041,1237.28571428571
Tiopronin,474,848,966,1860,1794,1685,1041,1238.28571428571
Mimosine,1147,996,948,1656,1112,1781,1041,1240.14285714285
Arformoterol,290,1193,2240,1002,1794,1122,1041,1240.28571428571
Indacaterol,290,1193,2240,1002,1794,1122,1041,1240.28571428571
Orciprenaline,290,1193,2240,1002,1794,1122,1041,1240.28571428571
Ibipinabant,1147,1739,1133,991,1185,1449,1041,1240.71428571428
Tolcapone,696,1091,1341,1321,1335,1867,1041,1241.71428571428
Boron,290,1168,2068,1860,1359,913,1041,1242.71428571428
"3,4,5-Trimethoxyamphetamine",1147,1752,1005,524,1547,1685,1041,1243
M-chlorophenylpiperazine,1147,1752,1005,524,1547,1685,1041,1243
MK-212,1147,1752,1005,524,1547,1685,1041,1243
"2,4-Dihydroxybenzoic Acid",1147,1752,1187,408,1485,1685,1041,1243.57142857142
"2,5-Dimethoxy-4-ethylamphetamine",1147,1752,1187,408,1485,1685,1041,1243.57142857142
Amperozide,1147,1752,1187,408,1485,1685,1041,1243.57142857142
Bufotenine,1147,1752,1187,408,1485,1685,1041,1243.57142857142
Cyclobenzaprine,1147,1752,1187,408,1485,1685,1041,1243.57142857142
Pimavanserin,1147,1752,1187,408,1485,1685,1041,1243.57142857142
Pruvanserin,1147,1752,1187,408,1485,1685,1041,1243.57142857142
Fluocinonide,1147,1244,1040,1820,739,1685,1041,1245.14285714285
Arbutin,1147,962,1956,768,1616,1790,480,1245.57142857142
Afegostat,290,875,1986,1307,1794,1867,606,1246.42857142857
Bicuculline,696,1798,762,1628,936,1867,1041,1246.85714285714
Octreotide,1147,1645,1089,881,1616,1313,1041,1247.42857142857
Aminolevulinic acid,834,1924,626,1285,1728,1313,1041,1250.14285714285
Secobarbital,1147,1514,1246,1341,1008,1458,1041,1250.71428571428
Amisulpride,1147,1926,1112,872,1324,1338,1041,1251.42857142857
Anagrelide,1147,1972,1522,1406,359,1313,1041,1251.42857142857
Itopride,1147,1798,1559,1279,739,1201,1041,1252
Methylphenobarbital,1147,1900,900,695,1481,1606,1041,1252.85714285714
Bromperidol,1147,1798,1339,1387,785,1280,1041,1253.85714285714
Efavirenz,909,513,1924,1796,791,1805,1041,1254.14285714285
L-Glutamine,984,1853,1253,1279,579,1790,1041,1254.14285714285
Tranylcypromine,1147,1883,1042,697,1151,1818,1041,1254.14285714285
Memantine,892,1584,961,1097,1714,1595,937,1254.28571428571
Naphazoline,1147,1959,726,1264,1238,1408,1041,1254.71428571428
2-Allylphenol,696,1091,1229,1860,1132,1739,1041,1255.42857142857
Crotonaldehyde,534,1012,847,1728,1794,1838,1041,1256.28571428571
Ximelagatran,1147,1484,900,1530,1794,1068,872,1256.42857142857
Mephenytoin,1147,1972,787,524,1517,1810,1041,1256.85714285714
Bicine,1147,368,1860,1530,1794,1867,237,1257.57142857142
Captodiame,290,823,1882,1860,1794,1113,1041,1257.57142857142
Ioversol,1147,368,1860,1530,1794,1867,237,1257.57142857142
Ketobemidone,1147,1580,1200,934,1760,1143,1041,1257.85714285714
Bupranolol,834,1222,2226,1219,1335,930,1041,1258.14285714285
Flibanserin,1147,1945,1313,408,1528,1425,1041,1258.14285714285
Phencyclidine,1147,1139,1167,872,1779,1863,841,1258.28571428571
Tiapride,1147,1798,1235,1400,910,1280,1041,1258.71428571428
Clarithromycin,909,1292,737,1860,1302,1677,1041,1259.71428571428
Tizanidine,1147,1818,1137,1137,1185,1354,1041,1259.85714285714
Beta-(2-Naphthyl)-Alanine,1147,1361,874,1750,1154,1623,918,1261
Tolnaftate,1147,730,1451,1530,1794,1149,1041,1263.14285714285
Trichlormethiazide,1147,1972,1206,546,1324,1606,1041,1263.14285714285
Decamethonium,1147,1520,2141,1087,922,991,1041,1264.14285714285
Furosemide,1147,1288,963,987,1615,1847,1014,1265.85714285714
Flunitrazepam,794,1126,1294,1860,892,1863,1041,1267.14285714285
"6-HYDROXY-1,3-BENZOTHIAZOLE-2-SULFONAMIDE",290,875,1475,1530,1794,1867,1041,1267.42857142857
Guanadrel,909,1929,1159,881,1728,1226,1041,1267.57142857142
Levonordefrin,909,1929,1159,881,1728,1226,1041,1267.57142857142
Ademetionine,474,628,2025,1078,1792,1838,1041,1268
Fluphenazine,1142,1928,913,664,1662,1567,1003,1268.42857142857
Dihydroergotamine,1147,1966,709,1285,934,1805,1041,1269.57142857142
Cinitapride,1147,1921,1341,486,1528,1425,1041,1269.85714285714
Ditiocarb,1026,1123,615,1748,1778,1730,872,1270.28571428571
Aniracetam,1147,1840,1236,332,1616,1685,1041,1271
Chlorpropamide,534,1091,1454,1587,1569,1623,1041,1271.28571428571
Otenabant,1147,1704,1457,916,1175,1462,1041,1271.71428571428
(11E)-OCTADEC-11-ENOIC ACID,1147,1972,1201,1239,684,1623,1041,1272.42857142857
Heptyl-Beta-D-Glucopyranoside,1147,1972,1201,1239,684,1623,1041,1272.42857142857
Mitiglinide,184,1499,1404,1438,1794,1549,1041,1272.71428571428
Bromazepam,111,1621,976,1628,1794,1739,1041,1272.85714285714
Alpha-Methylene Adenosine Monophosphate,1147,998,2240,863,1359,1867,439,1273.28571428571
Fomepizole,640,1462,736,1452,1794,1789,1041,1273.42857142857
Febuxostat,1147,658,1227,1406,1677,1769,1041,1275
alpha-D-glucose 6-phosphate,834,1271,1501,1219,1794,1266,1041,1275.14285714285
Blonanserin,1147,1948,1224,750,1250,1568,1041,1275.42857142857
Thiothixene,1147,1948,1224,750,1250,1568,1041,1275.42857142857
Buprenorphine,1147,1674,1325,831,1182,1732,1041,1276
Bimatoprost,984,1916,1355,1587,832,1226,1041,1277.28571428571
Pethidine,1147,1580,1164,980,1765,1264,1041,1277.28571428571
Thiethylperazine,1147,1819,1223,987,1455,1272,1041,1277.71428571428
Dalcetrapib,534,576,1998,1860,1082,1867,1041,1279.71428571428
Amikacin,696,1924,592,1452,1694,1568,1041,1281
Diflunisal,1147,1972,903,1321,922,1662,1041,1281.14285714285
Enalaprilat,696,1917,714,1750,1401,1449,1041,1281.14285714285
Tonapofylline,1147,1689,1525,1334,1117,1118,1041,1281.57142857142
Meclizine,1147,1675,2026,560,660,1867,1041,1282.28571428571
Cefoxitin,1147,978,1218,1628,1547,1867,606,1284.42857142857
Molindone,1147,1953,1194,919,1401,1338,1041,1284.71428571428
Dydrogesterone,909,1604,1247,1137,1275,1790,1041,1286.14285714285
Florbetaben (18F),1147,580,1734,1343,1794,1867,538,1286.14285714285
Afamelanotide,534,1248,1611,1860,1485,1226,1041,1286.42857142857
"2',3'-Dideoxyadenosine-5'-Triphosphate",1147,1752,1371,1057,1547,1092,1041,1286.71428571428
GTS-21,1147,1482,1419,1087,1745,1091,1041,1287.42857142857
Barbital,1147,1700,1338,1056,1169,1655,957,1288.85714285714
Leucovorin,290,875,1702,1860,1794,1462,1041,1289.14285714285
Oxitriptan,534,1569,1768,1458,1794,991,918,1290.28571428571
Phylloquinone,1147,1126,960,1098,1794,1867,1041,1290.42857142857
Clonazepam,1147,1827,1236,554,1547,1685,1041,1291
Methoxsalen,1061,962,1710,1860,565,1838,1041,1291
Fumagillin,534,1209,2240,1098,1794,1122,1041,1291.14285714285
Meprobamate,1147,1145,2046,1122,1396,1149,1041,1292.28571428571
Benzylpenicilloyl Polylysine,1147,1005,1690,1458,1794,1113,841,1292.57142857142
Pipotiazine,1147,1948,1211,831,1304,1568,1041,1292.85714285714
5-Fluoro-2'-Deoxyuridine-5'-Monophosphate,1147,1739,931,1860,1056,1278,1041,1293.14285714285
Bufuralol,1147,1412,2240,1239,1056,930,1041,1295
Esmolol,1147,1412,2240,1239,1056,930,1041,1295
Landiolol,1147,1412,2240,1239,1056,930,1041,1295
Practolol,1147,1412,2240,1239,1056,930,1041,1295
"5-Alpha-Androstane-3-Beta,17beta-Diol",1147,1493,1756,1530,1011,1092,1041,1295.71428571428
Piclidenoson,1147,1397,1309,1264,1794,1122,1041,1296.28571428571
"S,S-(2-Hydroxyethyl)Thiocysteine",1147,1972,500,1835,988,1599,1041,1297.42857142857
Astemizole,909,1671,1314,1438,929,1790,1041,1298.85714285714
Glycerol-2-Phosphate,534,1012,1243,1702,1694,1867,1041,1299
Procaine,1147,1972,1360,1117,641,1818,1041,1299.42857142857
Nelarabine,534,1232,1457,1728,1238,1867,1041,1299.57142857142
Linagliptin,1147,1614,1465,397,1569,1867,1041,1300
Cinnarizine,1061,1632,1231,1167,1663,1311,1041,1300.85714285714
Acetophenazine,1147,1739,1535,1285,1082,1280,1041,1301.28571428571
Alizapride,1147,1739,1535,1285,1082,1280,1041,1301.28571428571
Benperidol,1147,1739,1535,1285,1082,1280,1041,1301.28571428571
Nomifensine,1147,1739,1535,1285,1082,1280,1041,1301.28571428571
Dimethylthiambutene,1147,1645,1666,968,1616,1035,1041,1302.57142857142
Diphenoxylate,1147,1645,1666,968,1616,1035,1041,1302.57142857142
Hydrocodone,1147,1645,1666,968,1616,1035,1041,1302.57142857142
Oxymorphone,1147,1645,1666,968,1616,1035,1041,1302.57142857142
Phenoxybenzamine,1147,1967,991,1160,1566,1312,975,1302.57142857142
Sufentanil,1147,1645,1666,968,1616,1035,1041,1302.57142857142
Rocuronium,1147,1520,1998,853,1569,991,1041,1302.71428571428
Aminaphthone,1147,1385,805,1860,1794,1092,1041,1303.42857142857
Apricoxib,1147,1972,857,1167,1794,1149,1041,1303.85714285714
Implitapide,1147,637,2074,1002,1359,1867,1041,1303.85714285714
Lomitapide,1147,637,2074,1002,1359,1867,1041,1303.85714285714
Dimethyltryptamine,1147,1926,1271,750,1569,1425,1041,1304.14285714285
Dicyclomine,1147,1806,1827,1137,1259,913,1041,1304.28571428571
Flavoxate,1147,1806,1827,1137,1259,913,1041,1304.28571428571
Tri-Chloro-Acetaldehyde,1147,1002,1660,1835,1154,1295,1041,1304.85714285714
Uracil,696,1557,1196,1860,971,1818,1041,1305.57142857142
"2-({[3,5-DIFLUORO-3'-(TRIFLUOROMETHOXY)BIPHENYL-4-YL]AMINO}CARBONYL)CYCLOPENT-1-ENE-1-CARBOXYLIC ACID",1147,1972,888,1002,1794,1297,1041,1305.85714285714
GW-406381,1147,1972,888,1002,1794,1297,1041,1305.85714285714
Selenomethionine,1147,1972,888,1002,1794,1297,1041,1305.85714285714
3-[5-(3-nitrophenyl)thiophen-2-yl]propanoic acid,290,875,1427,1860,1794,1867,1041,1307.71428571428
"3,6,9,12,15,18-HEXAOXAICOSANE",1147,730,1489,1860,1020,1867,1041,1307.71428571428
Alrestatin,290,875,1427,1860,1794,1867,1041,1307.71428571428
IDD594,290,875,1427,1860,1794,1867,1041,1307.71428571428
Inhibitor Idd 384,290,875,1427,1860,1794,1867,1041,1307.71428571428
SGS-742,696,1704,1327,1167,1794,1425,1041,1307.71428571428
"(3R,4S)-1-(3,4-DIMETHOXYPHENYL)-3-(3-METHYLPHENYL)PIPERIDIN-4-AMINE",1147,1901,1414,1860,1056,736,1041,1307.85714285714
Terameprocol,1147,1901,1414,1860,1056,736,1041,1307.85714285714
Troxerutin,1147,1901,1414,1860,1056,736,1041,1307.85714285714
Clavulanate,1147,1971,1172,524,1616,1685,1041,1308
S-oxy-L-cysteine,1147,1972,694,1438,1616,1685,606,1308.28571428571
Apraclonidine,1147,1955,1040,1137,1616,1226,1041,1308.85714285714
2-(1H-INDOL-3-YL)ETHANAMINE,1147,1932,799,697,1771,1787,1041,1310.57142857142
Cilnidipine,1147,1972,1171,779,1465,1599,1041,1310.57142857142
Prochlorperazine,1147,1948,1252,872,1352,1568,1041,1311.42857142857
Montelukast,1147,1242,1076,1628,1728,1458,902,1311.57142857142
Eletriptan,1147,1921,905,1458,1485,1226,1041,1311.85714285714
Alprazolam,290,1683,1617,1406,1794,1354,1041,1312.14285714285
Chloramphenicol,1147,1972,2070,1264,330,1867,538,1312.57142857142
beta-Naphthoflavone,1147,1450,1324,1848,514,1867,1041,1313
Pregabalin,834,1687,1474,923,1794,1438,1041,1313
Cetirizine,1147,1560,1086,1702,1464,1296,937,1313.14285714285
Doxapram,534,1012,1860,1860,1020,1867,1041,1313.42857142857
Antipyrine,1147,1972,931,1167,1794,1149,1041,1314.42857142857
Antrafenine,1147,1972,931,1167,1794,1149,1041,1314.42857142857
Fenoprofen,1147,1972,931,1167,1794,1149,1041,1314.42857142857
Lornoxicam,1147,1972,931,1167,1794,1149,1041,1314.42857142857
Lumiracoxib,1147,1972,931,1167,1794,1149,1041,1314.42857142857
Nepafenac,1147,1972,931,1167,1794,1149,1041,1314.42857142857
Suprofen,1147,1972,931,1167,1794,1149,1041,1314.42857142857
Rebastinib,1147,1972,998,1530,1794,720,1041,1314.57142857142
Dapiprazole,1147,1959,1080,1137,1616,1226,1041,1315.14285714285
Trimazosin,1147,1959,1080,1137,1616,1226,1041,1315.14285714285
Xylometazoline,1147,1959,1080,1137,1616,1226,1041,1315.14285714285
Darusentan,1147,1385,795,1860,1794,1201,1041,1317.57142857142
1-Hydroxy-2-Amino-3-Cyclohexylpropane,1147,1739,1615,1796,832,1063,1041,1319
Ergonovine,1147,1952,1560,955,1465,1122,1041,1320.28571428571
Nicergoline,1147,1887,1601,1334,1056,1449,768,1320.28571428571
Menthol,1147,1838,1262,303,1794,1867,1041,1321.71428571428
N-Acetyl Serotonin,1147,1602,909,1628,1616,1313,1041,1322.28571428571
Sinefungin,290,1214,2148,1307,1794,1462,1041,1322.28571428571
Avanafil,290,875,2049,1860,1794,1354,1041,1323.28571428571
Gamma-Glutamyl[S-(2-Iodobenzyl)Cysteinyl]Glycine,290,875,2049,1860,1794,1354,1041,1323.28571428571
6-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}HEXANOIC ACID,534,1513,1135,1702,1794,1549,1041,1324
Succinylcholine,1147,1879,1425,697,1741,1338,1041,1324
6-O-benzylguanine,247,1906,577,1860,1771,1867,1041,1324.14285714285
Allopurinol,1147,1343,1583,1787,950,1420,1041,1324.42857142857
Aceclofenac,1147,1972,887,1137,1794,1297,1041,1325
Doxepin,1147,1819,1506,1204,1295,1272,1041,1326.28571428571
Idazoxan,1147,1592,1272,1285,1694,1260,1041,1327.28571428571
N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide,290,875,1569,1860,1794,1867,1041,1328
Mefenamic acid,1147,1972,919,1078,1794,1346,1041,1328.14285714285
Bifeprunox,1147,1739,1531,1285,1154,1408,1041,1329.28571428571
Butabarbital,1147,1677,1329,1122,1335,1655,1041,1329.42857142857
Butalbital,1147,1677,1329,1122,1335,1655,1041,1329.42857142857
Butethal,1147,1677,1329,1122,1335,1655,1041,1329.42857142857
Hexobarbital,1147,1677,1329,1122,1335,1655,1041,1329.42857142857
Metharbital,1147,1677,1329,1122,1335,1655,1041,1329.42857142857
Ramelteon,696,1563,1402,1530,1794,1280,1041,1329.42857142857
Talbutal,1147,1677,1329,1122,1335,1655,1041,1329.42857142857
Etoricoxib,909,1455,1045,1334,1794,1735,1041,1330.42857142857
FR233623,290,875,2233,1860,1794,1226,1041,1331.28571428571
Alfentanil,1147,1645,1643,813,1569,1462,1041,1331.42857142857
Anileridine,1147,1645,1643,813,1569,1462,1041,1331.42857142857
Ethylmorphine,1147,1645,1643,813,1569,1462,1041,1331.42857142857
GSK-1521498,1147,1645,1643,813,1569,1462,1041,1331.42857142857
Levallorphan,1147,1645,1643,813,1569,1462,1041,1331.42857142857
Methadyl Acetate,1147,1645,1643,813,1569,1462,1041,1331.42857142857
Ohmefentanyl,1147,1645,1643,813,1569,1462,1041,1331.42857142857
Sodium sulfide,1147,1645,1643,813,1569,1462,1041,1331.42857142857
Aniline,290,875,1671,1860,1794,1790,1041,1331.57142857142
Carbon monoxide,290,875,1671,1860,1794,1790,1041,1331.57142857142
Cefmetazole,290,875,1671,1860,1794,1790,1041,1331.57142857142
clomethiazole,290,875,1671,1860,1794,1790,1041,1331.57142857142
Mercuribenzoic Acid,1147,984,1635,939,1794,1785,1041,1332.14285714285
Fencamfamine,1147,1972,1813,678,809,1867,1041,1332.42857142857
Vanoxerine,1147,1972,1813,678,809,1867,1041,1332.42857142857
Gamma-Carboxy-Glutamic Acid,1147,1546,951,1530,1794,1462,902,1333.14285714285
1-CHLORO-6-(4-HYDROXYPHENYL)-2-NAPHTHOL,1147,1364,2074,1860,881,969,1041,1333.71428571428
2-(4-HYDROXY-PHENYL)BENZOFURAN-5-OL,1147,1364,2074,1860,881,969,1041,1333.71428571428
4-Piperidino-Piperidine,290,875,2240,1239,1794,1867,1041,1335.14285714285
N-Methylnaloxonium,290,875,2240,1239,1794,1867,1041,1335.14285714285
Tandutinib,1147,1972,1135,1458,1485,1113,1041,1335.85714285714
Dodecyl-Coa,290,875,2033,1860,1794,1462,1041,1336.42857142857
S-adenosyl-L-homocysteine,696,1235,1948,881,1794,1769,1041,1337.71428571428
Niguldipine,1147,1858,1545,1458,1259,1063,1041,1338.71428571428
2-NAPHTHALENESULFONIC ACID,1147,1522,1117,1458,1794,1462,872,1338.85714285714
4-[3-(4-CHLOROPHENYL)-1H-PYRAZOL-5-YL]PIPERIDINE,1147,1522,1117,1458,1794,1462,872,1338.85714285714
4-TERT-BUTYLBENZENESULFONIC ACID,1147,1522,1117,1458,1794,1462,872,1338.85714285714
6-(2-HYDROXY-CYCLOPENTYL)-7-OXO-HEPTANAMIDINE,1147,1522,1117,1458,1794,1462,872,1338.85714285714
Activated charcoal,1147,1522,1117,1458,1794,1462,872,1338.85714285714
Argatroban,1147,1522,1117,1458,1794,1462,872,1338.85714285714
